# Created using the notes in https://en.wikipedia.org/wiki/ISO_3166-1_alpha-2
# The countries where the official name is not their common name have a note saying
# what their common name is
Code	Country name	Country Common Name
BN	Brunei Darussalam	Brunei
BO	Bolivia, Plurinational State of	Bolivia
IR	Iran, Islamic Republic of	Iran
KP	Korea, Democratic People's Republic of	North Korea
KR	Korea, Republic of	South Korea
LA	Lao People's Democratic Republic	Laos
MD	Moldova, Republic of	Moldova
RU	Russian Federation	Russia
SY	Syrian Arab Republic	Syria
TZ	Tanzania, United Republic of	Tanzania
VE	Venezuela, Bolivarian Republic of	Venezuela
VN	Viet Nam	Vietnam
